specialty,hospital,age_group,waiting_over_12m,total_waiting,pct_over_12m
Small Volume Specialties,Cork University Maternity Hospital,Adult,0,10,0.0
Small Volume Specialties,Croom Orthopaedic Hospital,Child,0,1,0.0
Small Volume Specialties,Ennis Hospital,Adult,0,3,0.0
Small Volume Specialties,Ennis Hospital,Child,1,12,8.3
Small Volume Specialties,Galway University Hospitals,Adult,2,2,100.0
Small Volume Specialties,Galway University Hospitals,Child,4,53,7.5
Small Volume Specialties,Letterkenny University Hospital,Adult,0,5,0.0
Small Volume Specialties,Letterkenny University Hospital,Child,8,46,17.4
Small Volume Specialties,Louth County Hospital,Adult,0,12,0.0
Small Volume Specialties,Mallow General Hospital,Child,0,7,0.0
Small Volume Specialties,Mater Misericordiae University Hospital,Adult,4,28,14.3
Small Volume Specialties,Mayo University Hospital,Adult,0,4,0.0
Small Volume Specialties,Mayo University Hospital,Child,2,37,5.4
Small Volume Specialties,Mercy University Hospital,Adult,0,17,0.0
Small Volume Specialties,Mercy University Hospital,Child,0,1,0.0
Small Volume Specialties,Midland Regional Hospital Mullingar,Adult,0,3,0.0
Small Volume Specialties,Midland Regional Hospital Mullingar,Child,0,6,0.0
Small Volume Specialties,Midland Regional Hospital Portlaoise,Adult,4,19,21.1
Small Volume Specialties,Midland Regional Hospital Portlaoise,Child,1,13,7.7
Small Volume Specialties,Midland Regional Hospital Tullamore,Adult,0,6,0.0
Small Volume Specialties,Midland Regional Hospital Tullamore,Child,0,10,0.0
Small Volume Specialties,Naas General Hospital,Adult,0,12,0.0
Small Volume Specialties,Naas General Hospital,Child,0,3,0.0
Small Volume Specialties,National Orthopaedic Hospital Cappagh,Adult,0,11,0.0
Small Volume Specialties,Nenagh Hospital,Adult,0,21,0.0
Small Volume Specialties,Nenagh Hospital,Child,0,18,0.0
Small Volume Specialties,Our Lady of Lourdes Hospital Drogheda,Adult,4,69,5.8
Small Volume Specialties,Our Lady of Lourdes Hospital Drogheda,Child,3,40,7.5
Small Volume Specialties,Our Lady's Hospital Navan,Adult,0,21,0.0
Small Volume Specialties,Our Lady's Hospital Navan,Child,0,2,0.0
Small Volume Specialties,Portiuncula University Hospital,Adult,0,25,0.0
Small Volume Specialties,Portiuncula University Hospital,Child,1,13,7.7
Small Volume Specialties,Sligo University Hospital,Adult,0,6,0.0
Small Volume Specialties,Sligo University Hospital,Child,0,45,0.0
Small Volume Specialties,South Infirmary Victoria University Hospital,Adult,0,4,0.0
Small Volume Specialties,South Infirmary Victoria University Hospital,Child,2,8,25.0
Small Volume Specialties,St. Columcille's Hospital,Adult,0,1,0.0
Small Volume Specialties,St. James's Hospital,Adult,0,18,0.0
Small Volume Specialties,St. John's Hospital Limerick,Child,0,1,0.0
Small Volume Specialties,St. Luke's General Hospital Kilkenny,Adult,1,21,4.8
Small Volume Specialties,St. Luke's General Hospital Kilkenny,Child,0,20,0.0
Small Volume Specialties,St. Michael's Hospital,Adult,0,7,0.0
Small Volume Specialties,St. Vincent's University Hospital,Adult,0,16,0.0
Small Volume Specialties,Tallaght University Hospital,Adult,0,60,0.0
Small Volume Specialties,Tallaght University Hospital,Child,0,11,0.0
Small Volume Specialties,Tipperary University Hospital,Adult,0,22,0.0
Small Volume Specialties,Tipperary University Hospital,Child,1,7,14.3
Small Volume Specialties,University Hospital Kerry,Adult,0,2,0.0
Small Volume Specialties,University Hospital Kerry,Child,0,26,0.0
Small Volume Specialties,University Hospital Limerick,Adult,0,3,0.0
Small Volume Specialties,University Hospital Limerick,Child,0,48,0.0
Small Volume Specialties,University Hospital Waterford,Adult,1,22,4.5
Small Volume Specialties,University Hospital Waterford,Child,6,59,10.2
Small Volume Specialties,Wexford General Hospital,Adult,0,31,0.0
Small Volume Specialties,Wexford General Hospital,Child,0,19,0.0
Urology,Beaumont Hospital,Adult,297,4373,6.8
Urology,Connolly Hospital Blanchardstown,Adult,141,298,47.3
Urology,Cork University Hospital,Adult,93,1724,5.4
Urology,Cork University Hospital,Child,214,905,23.6
Urology,Galway University Hospitals,Adult,307,2404,12.8
Urology,Galway University Hospitals,Child,75,476,15.8
Urology,Letterkenny University Hospital,Adult,0,569,0.0
Urology,Letterkenny University Hospital,Child,0,65,0.0
Urology,Mallow General Hospital,Adult,6,171,3.5
Urology,Mater Misericordiae University Hospital,Adult,510,2651,19.2
Urology,Mayo University Hospital,Adult,1,162,0.6
Urology,Mercy University Hospital,Adult,231,951,24.3
Urology,Midland Regional Hospital Portlaoise,Adult,142,921,15.4
Urology,Midland Regional Hospital Portlaoise,Child,36,88,40.9
Urology,Our Lady of Lourdes Hospital Drogheda,Adult,134,1276,10.5
Urology,Portiuncula University Hospital,Adult,17,233,7.3
Urology,Roscommon University Hospital,Adult,16,381,4.2
Urology,Sligo University Hospital,Adult,5,678,0.7
Urology,Sligo University Hospital,Child,2,146,1.4
Urology,St. Columcille's Hospital,Adult,115,368,31.2
Urology,St. James's Hospital,Adult,33,1215,2.7
Urology,St. John's Hospital Limerick,Adult,0,31,0.0
Urology,St. Michael's Hospital,Adult,8,222,3.6
Urology,St. Vincent's University Hospital,Adult,412,1683,24.5
Urology,Tallaght University Hospital,Adult,56,1933,2.9
Urology,University Hospital Kerry,Adult,69,471,14.6
Urology,University Hospital Kerry,Child,7,101,6.9
Urology,University Hospital Limerick,Adult,1,1416,0.1
Urology,University Hospital Limerick,Child,0,191,0.0
Urology,University Hospital Waterford,Adult,438,2291,19.1
Urology,University Hospital Waterford,Child,13,107,12.1
Vascular Surgery,Beaumont Hospital,Adult,23,2094,1.1
Vascular Surgery,Cork University Hospital,Adult,326,1625,20.1
Vascular Surgery,Galway University Hospitals,Adult,6,1708,0.4
Vascular Surgery,Letterkenny University Hospital,Adult,0,27,0.0
Vascular Surgery,Mater Misericordiae University Hospital,Adult,0,668,0.0
Vascular Surgery,Mercy University Hospital,Adult,22,638,3.4
Vascular Surgery,Midland Regional Hospital Tullamore,Adult,60,1195,5.0
Vascular Surgery,Roscommon University Hospital,Adult,2,118,1.7
Vascular Surgery,St. Columcille's Hospital,Adult,135,371,36.4
Vascular Surgery,St. James's Hospital,Adult,60,890,6.7
Vascular Surgery,St. Michael's Hospital,Adult,167,569,29.3
Vascular Surgery,St. Vincent's University Hospital,Adult,311,1184,26.3
Vascular Surgery,Tallaght University Hospital,Adult,71,1093,6.5
Vascular Surgery,University Hospital Limerick,Adult,200,2023,9.9
Vascular Surgery,University Hospital Waterford,Adult,6,1138,0.5
